Timestamp;Username;Navn;Afdeling;PCNavn;OS;Producent;Model1;Model2;S/N;PC-AD-Status
07/10/20 07:57;N1M315;Ruth Williamson;AFE Ledningsafsnit;PC5004986;Windows 10;LENOVO;20EQS1PM00;ThinkPad P50;PC0GCCBP;Aktiv
07/10/20 06:47;N1M316;Karissa Wise;AFE Ledningsafsnit;PC5004987;Windows 10;LENOVO;20EQS1PM00;ThinkPad P50;PC0GWLHZ;Aktiv
30/09/20 14:27;N1M317;Renee Brown;AFE Ledningsafsnit;PC5004990;Windows 10;Dell Inc.;Latitude E5270;;6QLMWF2;Aktiv
07/10/20 06:54;N1M318;Allan Mercado;AFE Salg og Service;PC5004992;Windows 10;Dell Inc.;Latitude E7270;;8M35YF2;Aktiv
07/10/20 07:33;N1M319;Elian May;AFE Økonomi og Administration;PC5004994;Windows 10;Dell Inc.;Latitude E7470;;8MF61G2;Aktiv
06/10/20 08:25;N1M320;Kayleigh Whitney;AFE Håndværkere;PC5004995;Windows 10;Dell Inc.;Latitude E5570;;4JBB2G2;Aktiv
23/09/20 08:47;N1M321;Lucia Fritz;AFE Gas Drift;PC5006064;Windows 10;Dell Inc.;Latitude E7240;00;CG3WG12;Aktiv
06/10/20 07:44;N1M322;Neil Ochoa;AFE Gas Drift;PC5006068;Windows 10;Dell Inc.;Latitude E5470;;96MHWF2;Aktiv
07/10/20 07:12;N1M323;Ezequiel Gordon;AFE Salg og Service;PC5006071;Windows 10;Dell Inc.;Latitude 7280;;HTR5MH2;Aktiv
06/10/20 15:32;N1M324;Cheyenne Freeman;AFE Salg og Service;PC5006072;Windows 10;Dell Inc.;Latitude 7280;;BYR5MH2;Aktiv
06/10/20 09:22;N1M325;Kayleigh Rowe;AFE Gas;PC5006073;Windows 10;Dell Inc.;Latitude 7480;;3MKSLH2;Aktiv
07/10/20 07:34;N1M326;Yamilet Weeks;AFE Gas Drift;PC5006074;Windows 10;Dell Inc.;Latitude 7480;;5LHXLH2;Aktiv
29/09/20 12:31;N1M327;Rubi Mitchell;AFE Gas Drift;PC5006075;Windows 10;Dell Inc.;Latitude 7480;;45PXLH2;Aktiv
07/10/20 06:43;N1M328;Adam Watson;AFE Gas;PC5006076;Windows 10;Dell Inc.;Latitude 7490;;DRRYPN2;Aktiv
07/10/20 09:29;N1M329;Logan Schroeder;AFE Gas Drift;PC5006078;Windows 10;Dell Inc.;Latitude 7480;;D6KK7H2;Aktiv
06/10/20 11:23;N1M330;Porter Merritt;AFE Håndværkere;PC5006079;Windows 10;Dell Inc.;Latitude 7490;;2LYYPN2;Aktiv
07/10/20 06:49;N1M321;Lucia Fritz;AFE Gas Drift;PC5006080;Windows 10;LENOVO;20LAS4VE00;ThinkPad T580;R90TQL5P;Aktiv
02/10/20 11:22;N1M331;Chaim Elliott;AFV Teknisk kundekontakt;PC5007205;Windows 10;Dell Inc.;Latitude E7450;;FHW7662;Aktiv
07/10/20 07:45;N1M332;Livia Moore;AFV Grundvand og Vandkvalitet;PC5007212;Windows 10;LENOVO;20EQS1PM00;ThinkPad P50;PC0D89U3;Aktiv
